Place,Amount,tournament
1,1800000,22
2,1080000,22
3,680000,22
4,480000,22
5,400000,22
6,360000,22
7,335000,22
8,310000,22
9,290000,22
10,270000,22
11,250000,22
12,230000,22
13,210000,22
14,190000,22
15,180000,22
16,170000,22
17,160000,22
18,150000,22
19,140000,22
20,130000,22
21,120000,22
22,112000,22
23,104000,22
24,96000,22
25,88000,22
26,80000,22
27,77000,22
28,74000,22
29,71000,22
30,68000,22
31,65000,22
32,62000,22
33,59000,22
34,56000,22
35,54000,22
36,51500,22
37,49000,22
38,47000,22
39,45000,22
40,43000,22
41,41000,22
42,39000,22
43,37000,22
44,35000,22
45,33000,22
46,31000,22
47,29000,22
48,27400,22
49,26000,22
50,25200,22
51,24600,22
52,24000,22
53,23600,22
54,23200,22
55,23000,22
56,5000,22
57,5000,22
58,5000,22
59,5000,22
60,5000,22
61,5000,22
62,5000,22
63,5000,22
64,5000,22
65,5000,22
66,5000,22
67,5000,22
68,5000,22
69,5000,22
70,5000,22
71,5000,22
72,5000,22
73,5000,22
74,5000,22
75,5000,22
76,5000,22
77,5000,22
78,5000,22
79,5000,22
80,5000,22
81,5000,22
82,5000,22
83,5000,22
84,5000,22
85,5000,22
86,5000,22
87,5000,22
88,5000,22
89,5000,22
90,5000,22
91,5000,22
92,5000,22
93,5000,22
94,5000,22
95,5000,22
96,5000,22
97,5000,22
98,5000,22
99,5000,22
100,5000,22
101,5000,22
102,5000,22
1,1800000,1
2,1080000,1
3,680000,1
4,480000,1
5,400000,1
6,360000,1
7,335000,1
8,310000,1
9,290000,1
10,270000,1
11,250000,1
12,230000,1
13,210000,1
14,190000,1
15,180000,1
16,170000,1
17,160000,1
18,150000,1
19,140000,1
20,130000,1
21,120000,1
22,112000,1
23,104000,1
24,96000,1
25,88000,1
26,80000,1
27,77000,1
28,74000,1
29,71000,1
30,68000,1
31,65000,1
32,62000,1
33,59000,1
34,56000,1
35,54000,1
36,51500,1
37,49000,1
38,47000,1
39,45000,1
40,43000,1
41,41000,1
42,39000,1
43,37000,1
44,35000,1
45,33000,1
46,31000,1
47,29000,1
48,27400,1
49,26000,1
50,25200,1
51,24600,1
52,24000,1
53,23600,1
54,23200,1
55,23000,1
56,5000,1
57,5000,1
58,5000,1
59,5000,1
60,5000,1
61,5000,1
62,5000,1
63,5000,1
64,5000,1
65,5000,1
66,5000,1
67,5000,1
68,5000,1
69,5000,1
70,5000,1
71,5000,1
72,5000,1
73,5000,1
74,5000,1
75,5000,1
76,5000,1
77,5000,1
78,5000,1
79,5000,1
80,5000,1
81,5000,1
82,5000,1
83,5000,1
84,5000,1
85,5000,1
86,5000,1
87,5000,1
88,5000,1
89,5000,1
90,5000,1
91,5000,1
92,5000,1
93,5000,1
94,5000,1
95,5000,1
96,5000,1
97,5000,1
98,5000,1
99,5000,1
100,5000,1
101,5000,1
102,5000,1
103,5000,1
104,5000,1
105,5000,1
106,5000,1
107,5000,1
108,5000,1
109,5000,1
110,5000,1
111,5000,1
112,5000,1
113,5000,1
114,5000,1
115,5000,1
116,5000,1
117,5000,1
118,5000,1
119,5000,1
120,5000,1
121,5000,1
122,5000,1
123,5000,1
